Period,Amplitude,kfᴸᴬ,krᴸᴬ,kfᴸᴷ,krᴸᴷ,kcatᴸᴷ,kfᴸᴾ,krᴸᴾ,kcatᴸᴾ,kfᴬᴷ,krᴬᴷ,kfᴬᴾ,krᴬᴾ,DF,L,K,P,A,Kdᴸᴬ,Kdᴬᴷ,Kdᴬᴾ,Kmᴸᴷ,Kmᴸᴾ
756.0,0.79057,16.65555,0.67385,0.001,0.27031,2.76037,0.67249,0.001,0.46451,58.05538,56.6503,0.001,0.001,500.0,3.86179,0.90863,0.4829,0.89511,0.04046,0.9758,1.0,3030.68123,0.69222
9.27513,0.62731,5.22981,1.7916,0.001,71.22168,694.94851,50.05167,200.21588,40.61064,0.001,0.126,0.001,0.126,500.0,82.81571,65.26905,2.97013,6.13855,0.34257,126.0,126.0,766170.19078,4.81156
507.5,0.72779,1.95398,4.14944,0.001,1.2695,602.59995,4.92073,0.001,298.52106,77.68202,0.92357,0.88161,0.001,500.0,72.02881,87.42782,0.25202,2.12852,2.12358,0.01189,0.00113,603869.45137,60.66617
11.76316,0.73261,10.58094,10.21163,0.001,2.48575,330.15701,6.79722,0.4126,76.59211,2.11823,0.251,0.75175,0.126,500.0,32.14819,31.87366,0.9989,6.0739,0.9651,0.1185,0.16761,332642.75857,11.32885
30.05,0.23308,50.52122,14.9799,0.001,0.001,390.88072,0.15515,0.91767,0.72237,4.37814,30.42732,0.001,0.001,1000.0,51.64746,24.93548,11.27595,3.79869,0.29651,6.94983,1.0,390881.71629,10.57056
678.1,0.51231,1.20581,0.33311,0.48456,0.251,197.63478,40.79237,2.60666,9.87051,0.001,0.001,0.001,0.001,500.0,4.51815,1.00874,0.99454,0.85983,0.27625,1.0,1.0,408.37918,0.30587
17.76301,0.42744,0.63312,0.83202,0.48115,533.65094,17.4712,2.12799,0.001,4.88432,0.53932,0.001,0.59848,0.001,500.0,17.47531,7.63019,4.35058,3.82651,1.31416,0.00185,0.00167,1145.43758,2.29574
764.3,0.6863,83.69688,41.18307,0.001,170.97595,16.02506,2.20066,1.53141,4.72131,91.9809,4.94386,0.001,0.001,1000.0,44.25917,9.29616,2.10653,1.63368,0.49205,0.05375,1.0,187001.00674,2.84129
4.29067,0.61014,43.5062,22.57205,0.001,325.73734,445.08501,2.001,2.00265,9.58963,71.89645,0.64164,61.14112,5.70932,1000.0,56.87112,8.70389,2.41493,2.20148,0.51882,0.00892,0.09338,770822.34765,5.79324
757.4,0.5145,5.56228,148.42045,0.001,0.001,210.6681,0.71912,1.59962,0.33022,31.13808,21.87495,0.001,0.001,100.0,59.95354,8.14819,4.97825,4.14472,26.6834,0.70251,1.0,210669.09569,2.68362
8.89104,0.131,0.25209,2.03491,0.001,2.02295,121.84071,1.49246,11.13168,8.6258,5.03637,1.30105,0.251,0.251,1000.0,13.10056,15.50086,1.55398,5.47754,8.07203,0.25833,1.0,123863.65571,13.23818
373.03333,0.35602,83.32552,22.39763,0.001,0.77041,400.96708,15.83316,0.67972,0.61138,0.99332,0.001,99.07809,0.82918,100.0,4.63431,13.51222,0.385,0.8877,0.2688,0.00101,0.00837,401737.49162,0.08154
10.4655,0.61952,4.52858,3.89462,0.0031,5.11492,17.41756,27.16284,0.001,10.09997,12.03757,0.53486,0.376,0.251,100.0,95.69092,60.9937,15.14931,42.07407,0.86001,0.04443,0.66755,7273.73585,0.37187
14.05984,0.53778,0.76423,1.48839,0.001,0.63271,48.27777,0.99599,8.48421,3.97534,0.28329,0.05076,0.20933,0.626,1000.0,16.32307,9.37141,8.38305,5.16348,1.94756,0.1792,2.99045,48910.48544,12.50972
15.02471,0.21872,0.38312,1.08202,0.60615,533.90094,17.3462,1.87799,0.126,4.88432,0.78932,0.001,1.09848,0.001,500.0,16.22531,8.38019,3.97558,4.57651,2.82425,0.00127,0.00091,909.43039,2.66792
902.0,0.50568,0.16183,0.48039,0.3449,251.4187,402.84083,80.60738,0.27938,13.65955,7.20741,0.001,60.17206,0.03087,500.0,4.9281,3.2302,1.3194,0.84884,2.96845,0.00014,0.00051,1896.92916,0.17292
777.6,0.78597,2.63255,7.3311,0.001,2.94544,9.845,0.78982,0.626,12.73103,2.10297,0.001,0.376,0.001,500.0,55.58504,0.7656,0.26175,0.61312,2.78479,0.00048,0.00266,12790.436,16.91154
511.0,0.75459,1.12857,2.52363,0.001,2.51104,297.96212,3.50854,0.501,2.11563,1.10443,0.001,38.35392,0.71736,500.0,42.91832,34.21107,11.84655,5.50079,2.23614,0.00091,0.0187,300473.157,0.74579
795.7,0.64738,18.05037,6.26243,0.001,13.81029,8.12127,32.50757,0.376,34.69568,34.21271,0.92519,0.001,0.001,1000.0,21.48673,3.14162,0.27712,1.18936,0.34694,0.02704,1.0,21931.55651,1.07888
1017.2,0.59487,94.44113,27.83308,0.001,2.18449,116.54016,0.75087,0.75829,0.99476,0.001,0.001,0.001,0.001,1000.0,28.76604,14.95274,3.47441,1.65147,0.29471,1.0,1.0,118724.64282,2.33468
195.12222,0.54453,46.67564,283.60463,0.001,30.76072,46.74175,6.75732,95.90184,66.17779,4.53463,10.87583,0.001,0.00558,500.0,33.68957,42.89435,0.82315,7.65107,6.07607,2.39839,5.57763,77502.47083,23.98578
925.1,0.86754,2.74705,4.07663,0.001,0.376,831.99686,43.90881,839.39542,131.20898,18.64302,0.001,0.6015,0.001,500.0,57.86541,2.95614,0.35457,1.81008,1.484,5.0e-5,0.00166,832372.85843,22.105
854.5,0.46834,7.1629,3.58047,0.001,349.67243,1.10022,1.87678,5.15741,1.68269,0.07505,0.001,0.52391,0.00398,1000.0,28.88096,10.14777,0.01,0.219,0.49986,0.01332,0.00759,350772.65539,3.64459
660.1,0.57039,5.35668,55.94733,0.001,24.78428,61.43365,0.45933,0.001,1.45461,10.97039,16.09471,0.001,0.001,1000.0,46.05362,21.79945,3.61801,1.47513,10.44441,1.4671,1.0,86217.92792,3.16896
823.2,0.48746,0.37681,0.30797,0.001,208.76661,9.14872,1.44944,42.59599,0.28194,0.001,0.001,25.9953,38.88089,1000.0,44.2885,2.82902,1.43602,1.51222,0.81731,1.0,1.49569,217915.32146,29.58241
499.9,0.80587,23.80674,0.57982,0.001,4.09268,60.94389,36.13795,0.251,1.45624,1.02833,0.001,37.98726,0.626,1000.0,14.03941,9.16026,3.35972,0.97735,0.02436,0.00097,0.01648,65036.56856,0.04724
294.53333,0.60336,1.98182,0.83726,0.001,0.62733,57.2045,0.57932,7.85921,3.97534,1.53329,0.001,0.21048,0.001,1000.0,16.94807,8.32974,8.17472,4.33014,0.42247,0.00065,0.00475,57831.82896,20.42823
